id,title,budget,genre,popularity,release_date,revenue,runtime,vote_average
209802,,,Drama,,,,,
20981,The Call of Cthulhu,50000,Fantasy,3.324295,2005-01-01,0.0,47.0,6.9
20981,The Call of Cthulhu,50000,Horror,3.324295,2005-01-01,0.0,47.0,6.9
20981,The Call of Cthulhu,50000,Thriller,3.324295,2005-01-01,0.0,47.0,6.9
20983,,,Drama,,,,,
20983,,,Comedy,,,,,
209840,,,Drama,,,,,
20986,,,Adventure,,,,,
20986,,,Animation,,,,,
20986,,,Action,,,,,
20986,,,Comedy,,,,,
20989,,,Comedy,,,,,
20989,,,Action,,,,,
20989,,,Adventure,,,,,
2099,Raw Deal,8500000,Thriller,9.292099,1986-06-06,16209459.0,106.0,5.5
2099,Raw Deal,8500000,Action,9.292099,1986-06-06,16209459.0,106.0,5.5
2099,Raw Deal,8500000,Crime,9.292099,1986-06-06,16209459.0,106.0,5.5
209901,Nothing Left to Fear,3000000,Horror,5.317284,2013-09-26,1675381.0,100.0,4.6
20992,,,Thriller,,,,,
20992,,,Action,,,,,
20992,,,Crime,,,,,
209920,,,Comedy,,,,,
209920,,,Family,,,,,
209921,,,Comedy,,,,,
209921,,,Animation,,,,,
20993,Brother 2,1500000,Drama,2.131384,2000-01-01,0.0,122.0,7.2
20993,Brother 2,1500000,Thriller,2.131384,2000-01-01,0.0,122.0,7.2
20994,,,Crime,,,,,
20994,,,Action,,,,,
20994,,,Comedy,,,,,
20995,,,Foreign,,,,,
20995,,,Comedy,,,,,
20996,,,Music,,,,,
20996,,,Documentary,,,,,
21,,,Documentary,,,,,
2100,The Last Castle,72000000,Drama,9.807552,2001-10-19,27642707.0,131.0,7.0
2100,The Last Castle,72000000,Action,9.807552,2001-10-19,27642707.0,131.0,7.0
2100,The Last Castle,72000000,Thriller,9.807552,2001-10-19,27642707.0,131.0,7.0
21001,,,Drama,,,,,
21001,,,Romance,,,,,
210019,,,Western,,,,,
210024,,,Drama,,,,,
210041,,,Comedy,,,,,
210047,,,Crime,,,,,
210047,,,Drama,,,,,
210047,,,Thriller,,,,,
210052,,,War,,,,,
210052,,,History,,,,,
210052,,,Drama,,,,,
210059,,,TV Movie,,,,,
210059,,,Drama,,,,,
210059,,,Thriller,,,,,
210059,,,Mystery,,,,,
210068,,,Romance,,,,,
210079,,,Horror,,,,,
210079,,,Mystery,,,,,
210079,,,Thriller,,,,,
210092,,,Drama,,,,,
210126,,,Animation,,,,,
21013,,,Science Fiction,,,,,
21013,,,Comedy,,,,,
21013,,,Action,,,,,
21014,,,Comedy,,,,,
210183,,,Crime,,,,,
2102,Solar Crisis,55000000,Thriller,0.653162,1990-07-14,0.0,112.0,4.4
2102,Solar Crisis,55000000,Adventure,0.653162,1990-07-14,0.0,112.0,4.4
2102,Solar Crisis,55000000,Drama,0.653162,1990-07-14,0.0,112.0,4.4
2102,Solar Crisis,55000000,Action,0.653162,1990-07-14,0.0,112.0,4.4
2102,Solar Crisis,55000000,Science Fiction,0.653162,1990-07-14,0.0,112.0,4.4
2102,Solar Crisis,55000000,Foreign,0.653162,1990-07-14,0.0,112.0,4.4
210234,Skewered,346500,Drama,0.669257,2013-07-16,0.0,105.0,5.0
210234,Skewered,346500,Comedy,0.669257,2013-07-16,0.0,105.0,5.0
21024,,,Comedy,,,,,
21024,,,Music,,,,,
210250,,,Documentary,,,,,
21026,The Belgrade Phantom,1000000,Action,0.484569,2009-03-27,0.0,82.0,5.5
21026,The Belgrade Phantom,1000000,Crime,0.484569,2009-03-27,0.0,82.0,5.5
21026,The Belgrade Phantom,1000000,Drama,0.484569,2009-03-27,0.0,82.0,5.5
21026,The Belgrade Phantom,1000000,Foreign,0.484569,2009-03-27,0.0,82.0,5.5
21027,,,Drama,,,,,
21027,,,Adventure,,,,,
21027,,,Western,,,,,
21027,,,Action,,,,,
210274,,,Documentary,,,,,
210274,,,Music,,,,,
21028,,,Drama,,,,,
21028,,,Romance,,,,,
21028,,,Comedy,,,,,
210288,,,Comedy,,,,,
21029,,,Comedy,,,,,
210293,,,Comedy,,,,,
210293,,,Drama,,,,,
2103,Solaris,47000000,Science Fiction,10.642824,2002-11-27,30002758.0,99.0,5.9
2103,Solaris,47000000,Mystery,10.642824,2002-11-27,30002758.0,99.0,5.9
2103,Solaris,47000000,Drama,10.642824,2002-11-27,30002758.0,99.0,5.9
2103,Solaris,47000000,Romance,10.642824,2002-11-27,30002758.0,99.0,5.9
21030,,,Comedy,,,,,
210302,,,Comedy,,,,,
210302,,,Drama,,,,,
210307,,,Comedy,,,,,
21032,,,Family,,,,,
21032,,,Animation,,,,,
21032,,,Adventure,,,,,
210320,,,Adventure,,,,,
210320,,,Thriller,,,,,
210320,,,Science Fiction,,,,,
210320,,,Family,,,,,
21033,Beautiful,1500000,Thriller,2.713961,2009-04-27,56000.0,97.0,4.6
21033,Beautiful,1500000,Mystery,2.713961,2009-04-27,56000.0,97.0,4.6
21033,Beautiful,1500000,Drama,2.713961,2009-04-27,56000.0,97.0,4.6
21035,,,Drama,,,,,
21035,,,Romance,,,,,
21036,,,Family,,,,,
21036,,,Animation,,,,,
21036,,,Comedy,,,,,
210365,,,Drama,,,,,
21038,,,War,,,,,
21038,,,Drama,,,,,
21039,,,Drama,,,,,
2104,,,Horror,,,,,
2104,,,Thriller,,,,,
2104,,,Action,,,,,
21040,,,Action,,,,,
21040,,,Thriller,,,,,
210408,,,Romance,,,,,
210408,,,Drama,,,,,
21041,The Third Wave,4667404,Thriller,1.7972,2003-10-15,0.0,115.0,6.2
21041,The Third Wave,4667404,Action,1.7972,2003-10-15,0.0,115.0,6.2
21042,,,Drama,,,,,
21043,,,Drama,,,,,
21043,,,Thriller,,,,,
21044,,,Animation,,,,,
210479,Locke,2000000,Drama,12.792394,2014-04-10,4635300.0,85.0,6.9
210479,Locke,2000000,Thriller,12.792394,2014-04-10,4635300.0,85.0,6.9
210487,,,Comedy,,,,,
2105,American Pie,11000000,Romance,18.344227,1999-07-09,235483004.0,95.0,6.4
2105,American Pie,11000000,Comedy,18.344227,1999-07-09,235483004.0,95.0,6.4
21052,Levity,7500000,Crime,2.400607,2003-03-16,209151.0,100.0,5.9
21052,Levity,7500000,Drama,2.400607,2003-03-16,209151.0,100.0,5.9
21055,,,Comedy,,,,,
21055,,,Romance,,,,,
21056,,,Romance,,,,,
21056,,,Drama,,,,,
21057,,,Romance,,,,,
21057,,,Animation,,,,,
21057,,,Drama,,,,,
210577,Gone Girl,61000000,Thriller,154.801009,2014-10-01,369330363.0,145.0,7.9
210577,Gone Girl,61000000,Mystery,154.801009,2014-10-01,369330363.0,145.0,7.9
210577,Gone Girl,61000000,Drama,154.801009,2014-10-01,369330363.0,145.0,7.9
21058,,,Drama,,,,,
21058,,,Romance,,,,,
21059,,,Comedy,,,,,
21060,,,Romance,,,,,
21060,,,Comedy,,,,,
210609,,,Western,,,,,
210615,,,Drama,,,,,
21062,,,Comedy,,,,,
21062,,,Romance,,,,,
210624,,,Documentary,,,,,
210653,,,Crime,,,,,
210653,,,Horror,,,,,
210653,,,Drama,,,,,
2107,,,Fantasy,,,,,
2107,,,Romance,,,,,
2107,,,Drama,,,,,
2107,,,Comedy,,,,,
21070,,,Crime,,,,,
21070,,,Drama,,,,,
210708,,,Drama,,,,,
210708,,,Comedy,,,,,
210708,,,Science Fiction,,,,,
21072,,,Thriller,,,,,
21072,,,Action,,,,,
21073,,,Foreign,,,,,
21073,,,Documentary,,,,,
210734,,,War,,,,,
210734,,,Horror,,,,,
210737,,,Comedy,,,,,
210737,,,Adventure,,,,,
210737,,,Fantasy,,,,,
21074,,,Drama,,,,,
210769,,,Family,,,,,
210777,,,Drama,,,,,
2108,The Breakfast Club,1000000,Drama,12.627678,1985-02-15,51525171.0,97.0,7.8
2108,The Breakfast Club,1000000,Comedy,12.627678,1985-02-15,51525171.0,97.0,7.8
210842,,,Comedy,,,,,
210842,,,Horror,,,,,
210860,Mortdecai,60000000,Comedy,10.241861,2015-01-21,30418560.0,106.0,5.4
210860,Mortdecai,60000000,Adventure,10.241861,2015-01-21,30418560.0,106.0,5.4
210864,,,Documentary,,,,,
2109,Rush Hour,33000000,Comedy,11.840557,1998-09-18,244386864.0,98.0,6.8
2109,Rush Hour,33000000,Thriller,11.840557,1998-09-18,244386864.0,98.0,6.8
2109,Rush Hour,33000000,Crime,11.840557,1998-09-18,244386864.0,98.0,6.8
2109,Rush Hour,33000000,Action,11.840557,1998-09-18,244386864.0,98.0,6.8
210908,,,Horror,,,,,
210908,,,Comedy,,,,,
210908,,,Thriller,,,,,
210910,,,Science Fiction,,,,,
210910,,,Horror,,,,,
210911,,,Drama,,,,,
210911,,,Horror,,,,,
210911,,,Action,,,,,
210913,,,Horror,,,,,
210923,,,Drama,,,,,
210938,,,Comedy,,,,,
210940,,,Science Fiction,,,,,
210940,,,Comedy,,,,,
210947,Afflicted,318000,Thriller,8.93232,2014-04-04,121179.0,85.0,6.4
210947,Afflicted,318000,Horror,8.93232,2014-04-04,121179.0,85.0,6.4
210966,,,Action,,,,,
210966,,,Drama,,,,,
211,,,Comedy,,,,,
211,,,Drama,,,,,
2110,Wasabi,15300000,Action,12.426505,2001-10-31,0.0,94.0,6.2
2110,Wasabi,15300000,Drama,12.426505,2001-10-31,0.0,94.0,6.2
2110,Wasabi,15300000,Comedy,12.426505,2001-10-31,0.0,94.0,6.2
211005,,,Comedy,,,,,
211005,,,Drama,,,,,
211024,,,Documentary,,,,,
211052,,,Drama,,,,,
211059,,,Drama,,,,,
211065,,,Drama,,,,,
211065,,,Horror,,,,,
211065,,,Thriller,,,,,
211067,The Sacrament,4000000,Horror,5.350658,2013-09-02,9221.0,99.0,5.6
211067,The Sacrament,4000000,Mystery,5.350658,2013-09-02,9221.0,99.0,5.6
211067,The Sacrament,4000000,Thriller,5.350658,2013-09-02,9221.0,99.0,5.6
211076,,,Thriller,,,,,
211076,,,Crime,,,,,
211076,,,Drama,,,,,
211078,,,Documentary,,,,,
211085,,,Documentary,,,,,
211086,Faith Connections,550000,Documentary,0.510598,2013-11-21,0.0,115.0,4.2
211086,Faith Connections,550000,Drama,0.510598,2013-11-21,0.0,115.0,4.2
211088,,,Documentary,,,,,
211088,,,Drama,,,,,
2111,,,Drama,,,,,
2111,,,Foreign,,,,,
211105,,,Thriller,,,,,
211105,,,Horror,,,,,
211125,,,TV Movie,,,,,
211125,,,Drama,,,,,
211139,,,Action,,,,,
211139,,,Adventure,,,,,
211139,,,Drama,,,,,
211144,,,Drama,,,,,
21115,Fighter In The Wind,6000000,Drama,2.145287,2004-08-12,0.0,120.0,6.7
21115,Fighter In The Wind,6000000,Action,2.145287,2004-08-12,0.0,120.0,6.7
211158,,,Drama,,,,,
211166,,,Romance,,,,,
211166,,,Drama,,,,,
211179,,,Adventure,,,,,
211179,,,Drama,,,,,
211179,,,Action,,,,,
21118,,,Comedy,,,,,
21118,,,Romance,,,,,
2112,Payback,90000000,Crime,9.112008,1999-02-05,161626121.0,100.0,6.7
2112,Payback,90000000,Thriller,9.112008,1999-02-05,161626121.0,100.0,6.7
2112,Payback,90000000,Action,9.112008,1999-02-05,161626121.0,100.0,6.7
2112,Payback,90000000,Drama,9.112008,1999-02-05,161626121.0,100.0,6.7
211220,The Pig Farm,1500000,Documentary,0.032165,2011-01-01,0.0,90.0,0.0
211222,,,Documentary,,,,,
211231,,,Animation,,,,,
211231,,,Action,,,,,
211231,,,Adventure,,,,,
211233,The Hijack That Went South,1800000,Action,0.474578,2013-01-17,532269.0,93.0,5.6
211233,The Hijack That Went South,1800000,Crime,0.474578,2013-01-17,532269.0,93.0,5.6
211233,The Hijack That Went South,1800000,Comedy,0.474578,2013-01-17,532269.0,93.0,5.6
211247,,,Animation,,,,,
211247,,,Drama,,,,,
211256,,,Drama,,,,,
211275,,,Action,,,,,
211275,,,Romance,,,,,
211275,,,Drama,,,,,
21128,,,Drama,,,,,
21128,,,Thriller,,,,,
21128,,,Crime,,,,,
21131,,,Comedy,,,,,
21131,,,Animation,,,,,
211317,Standing Army,264000,Documentary,0.170093,2010-01-10,0.0,75.0,4.5
21132,,,Drama,,,,,
21132,,,Thriller,,,,,
21132,,,Crime,,,,,
211331,,,Drama,,,,,
211331,,,TV Movie,,,,,
211331,,,Romance,,,,,
211337,,,Documentary,,,,,
21135,,,Drama,,,,,
21135,,,Romance,,,,,
211354,,,Drama,,,,,
21136,,,Drama,,,,,
21136,,,Science Fiction,,,,,
21136,,,Comedy,,,,,
21137,The Decline of Western Civilization,100000,Documentary,1.54682,1981-07-01,0.0,100.0,7.5
21137,The Decline of Western Civilization,100000,Music,1.54682,1981-07-01,0.0,100.0,7.5
